day,hour,value
Sun,0,5
Sun,1,5
Sun,2,5
Sun,3,4
Sun,4,5
Sun,5,4
Sun,6,3
Sun,7,2
Sun,8,1
Sun,9,4
Sun,10,5
Sun,11,8
Sun,12,9
Sun,13,10
Sun,14,10
Sun,15,7
Sun,16,9
Sun,17,7
Sun,18,7
Sun,19,6
Sun,20,5
Sun,21,3
Sun,22,2
Sun,23,2
Mon,0,2
Mon,1,2
Mon,2,4
Mon,3,4
Mon,4,4
Mon,5,2
Mon,6,4
Mon,7,4
Mon,8,5
Mon,9,5
Mon,10,4
Mon,11,3
Mon,12,4
Mon,13,5
Mon,14,5
Mon,15,6
Mon,16,8
Mon,17,8
Mon,18,7
Mon,19,5
Mon,20,7
Mon,21,6
Mon,22,7
Mon,23,6
Tue,0,5
Tue,1,3
Tue,2,4
Tue,3,4
Tue,4,3
Tue,5,1
Tue,6,2
Tue,7,3
Tue,8,4
Tue,9,4
Tue,10,2
Tue,11,3
Tue,12,4
Tue,13,0
Tue,14,0
Tue,15,0
Tue,16,0
Tue,17,0
Tue,18,0
Tue,19,0
Tue,20,0
Tue,21,0
Tue,22,0
Tue,23,0
Wed,0,0
Wed,1,0
Wed,2,0
Wed,3,0
Wed,4,0
Wed,5,0
Wed,6,0
Wed,7,0
Wed,8,0
Wed,9,0
Wed,10,0
Wed,11,0
Wed,12,0
Wed,13,0
Wed,14,0
Wed,15,0
Wed,16,0
Wed,17,0
Wed,18,0
Wed,19,0
Wed,20,0
Wed,21,0
Wed,22,0
Wed,23,0
Thu,0,0
Thu,1,0
Thu,2,0
Thu,3,0
Thu,4,0
Thu,5,0
Thu,6,0
Thu,7,0
Thu,8,0
Thu,9,0
Thu,10,0
Thu,11,0
Thu,12,0
Thu,13,0
Thu,14,0
Thu,15,0
Thu,16,0
Thu,17,0
Thu,18,0
Thu,19,0
Thu,20,0
Thu,21,0
Thu,22,0
Thu,23,0
Fri,0,0
Fri,1,0
Fri,2,0
Fri,3,0
Fri,4,0
Fri,5,0
Fri,6,0
Fri,7,0
Fri,8,0
Fri,9,0
Fri,10,0
Fri,11,0
Fri,12,0
Fri,13,0
Fri,14,0
Fri,15,0
Fri,16,0
Fri,17,0
Fri,18,0
Fri,19,0
Fri,20,0
Fri,21,0
Fri,22,0
Fri,23,0
Sat,0,0
Sat,1,0
Sat,2,0
Sat,3,0
Sat,4,0
Sat,5,0
Sat,6,0
Sat,7,0
Sat,8,0
Sat,9,0
Sat,10,0
Sat,11,0
Sat,12,0
Sat,13,0
Sat,14,0
Sat,15,0
Sat,16,0
Sat,17,0
Sat,18,0
Sat,19,0
Sat,20,0
Sat,21,0
Sat,22,0
Sat,23,0
